,index,_id,lieu_id,user,section,created_at,updatedAt,__v,new,old,userDatas,automation,noChanges,isCampaign,orgaId,orgaName,role,status,territoire
1423,47426,60d44afcdadd8735a774909f,3287,60bf2464dcc0491fd973ccad,tempMessage,2021-06-24,2021-06-24 09:06:04.655,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1424,47429,60d44b75dadd8735a77490a7,6777,5ffecce91108a407a01e1c7d,place,2021-06-24,2021-06-24 09:08:05.525,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,78
1425,47430,60d44b9fdadd8735a77490a9,6077,60bf3697dcc0491fd973ce2f,place,2021-06-24,2021-06-24 09:08:47.183,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,33
1426,47434,60d44bb6dadd8735a77490ad,3779,60bf3697dcc0491fd973ce2f,place,2021-06-24,2021-06-24 09:09:10.715,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,33
1427,47442,60d44c34dadd8735a77490b6,7075,60bf2464dcc0491fd973ccad,tempMessage,2021-06-24,2021-06-24 09:11:16.575,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1428,47447,60d44c75dadd8735a77490bb,4030,60bf36a6dcc0491fd973ce31,tempMessage,2021-06-24,2021-06-24 09:12:21.878,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,92
1429,47449,60d44c7cdadd8735a77490bd,6723,5ffecce91108a407a01e1c7d,place,2021-06-24,2021-06-24 09:12:28.056,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,78
1430,47453,60d44cf5dadd8735a77490c9,5174,604f35d6c72ce16fa31f1ac5,place,2021-06-24,2021-06-24 09:14:29.986,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,91
1431,47457,60d44d95dadd8735a77490ce,11335,5ffecce91108a407a01e1c7d,place,2021-06-24,2021-06-24 09:17:09.124,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,78
1432,47458,60d44db0dadd8735a77490d3,3800,60bf36bbdcc0491fd973ce37,tempMessage,2021-06-24,2021-06-24 09:17:36.631,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,75
